the_geom,OBJECTID,BLDG_NUM,PRG_NUM,NAME,ADDRESS,CLASS,GRADES,ZIPCODE,TYPE
POINT (-76.656721560675 39.282396364595),977,80,260,Frederick Elementary,2501 Frederick Ave,PK - 5,PK - 5,21223,Traditional
POINT (-76.65827379087 39.312576968316),950,432,432,Coppin Academy,2500 W North Avenue,9 - 12,9 - 12,21216,Charter
POINT (-76.571474349938 39.366128477896),"1,084",0,855,Success Academy,2201 Pinewood Ave,9 - 12,9 - 12,21214,Alternative
POINT (-76.546073134198 39.320373465979),"1,080",170,374,Vanguard Collegiate Middle,5000 Truesdale Avenue,6 - 8,6 - 8,21206,Traditional
POINT (-76.653495480201 39.291750328462),"1,022",150,150,Mary Ann Winterling Elementary at Bentalou,220 N Bentalou Street,PK - 5,PK - 5,21223,Traditional
POINT (-76.610877957317 39.270900008849),"1,078",84,84,Thomas Johnson Elementary/Middle,100 E Heath Street,PK - 8,PK - 8,21230,Traditional
POINT (-76.627857869611 39.303202807885),936,130,130,Booker T. Washington Middle,1301 McCulloh Street,6 - 8,6 - 8,21217,Traditional
POINT (-76.59185916035 39.345557496988),"1,039",330,330,Northwood Appold Community Academy,4417 Loch Raven Boulevard,K - 5,K - 5,21218,Charter
POINT (-76.643628034261 39.346272454143),928,403,403,Baltimore Polytechnic Institute,1400 W Cold Spring Lane,9 - 12,9 - 12,21209,Traditional
POINT (-76.588453579785 39.352737665942),"1,046",242,242,Northwood Elementary,5201 Loch Raven Boulevard,PK - 5,PK - 5,21239,Traditional
POINT (-76.608432423802 39.360546718599),990,213,213,Govans Elementary,5801 York Road,PK - 5,PK - 5,21212,Charter
POINT (-76.689653004928 39.332726745278),969,406,406,Forest Park High,3701 Eldorado Avenue,9 - 12,9 - 12,21207,Traditional
POINT (-76.60699629136 39.236923248459),"1,026",203,203,Maree G. Farring Elementary/Middle,300 Pontiac Avenue,PK - 8,PK - 8,21225,Traditional
POINT (-76.642694744639 39.341084848365),"1,029",249,249,Medfield Heights Elementary,4300 Buchanan Avenue,PK - 5,PK - 5,21211,Traditional
POINT (-76.688096358712 39.362566797581),952,247,247,Cross Country Elementary/Middle,6100 Cross Country Boulevard,PK - 8,PK - 8,21215,Traditional
POINT (-76.591010367035 39.332567914519),"1,027",410,410,Mergenthaler Vocational-Technical High,3500 Hillen Road,9 - 12,9 - 12,21218,Traditional
POINT (-76.59653697416 39.325537503886),925,480,480,Baltimore City College,3220 The Alameda,9 - 12,9 - 12,21218,Traditional
POINT (-76.608316386877 39.300569633559),"1,086",0,884,Eager Street Academy,401 E Eager St,6 - 12,6 - 12,21202,Alternative
POINT (-76.697943951184 39.295346316037),"1,060",232,232,Thomas Jefferson Elementary/Middle,605 Dryden Drive,PK - 8,PK - 8,21229,Traditional
POINT (-76.601026515591 39.355521729895),945,46,371,Lillie May Carroll Jackson School,900 Woodbourne Ave,5 - 8,5 - 8,21212,Charter
POINT (-76.552760030932 39.304866800868),921,243,243,Armistead Gardens Elementary/Middle,5001 E Eager Street,PK - 8,PK - 8,21205,Traditional
POINT (-76.590853648539 39.303904188337),"1,082",0,734,Elementary/Middle Alternative Program,1500 Harlem Avenue,K - 8,K - 8,21217,Alternative
POINT (-76.634383575787 39.292211784987),993,413,178,Excel Academy at Francis M. Wood High,1001 W Saratoga Street,6 - 12,6-12,21223,Alternative
POINT (-76.673479584565 39.319058170398),"1,010",21,21,Hilton Elementary,3301 Carlisle Avenue,PK - 5,PK - 5,21216,Traditional
POINT (-76.674539861755 39.282753275304),"1,055",73,73,Sarah M. Roach Elementary,3434 Old Frederick Road,PK - 5,PK - 5,21229,Traditional
POINT (-76.642583713171 39.299206857291),"1,085",0,858,Youth Opportunity,1510 W Lafayette Ave,9 - 12,9 - 12,21217,Alternative
POINT (-76.571741304141 39.36650968362),"1,041",402,413,Achievement Academy at Harbor City High,2201 Pinewood Dr,9 - 12,9 - 12,21214,Alternative
POINT (-76.618896360624 39.276497867454),"1,056",314,314,Sharp-Leadenhall Elementary,150 W West Street,K - 5,K - 5,21230,Separate Public Day
POINT (-76.566319109162 39.321286391217),935,231,231,Brehms Lane Elementary,3536 Brehms Lane,PK - 5,PK - 5,21213,Charter
POINT (-76.673654497242 39.267525299822),"1,062",226,226,Violetville Elementary/Middle,1207 Pine Heights Avenue,PK - 8,PK - 8,21229,Traditional
POINT (-76.659240872392 39.297540485855),965,202,262,Empowerment Academy,851 Braddish Avenue,PK - 8,PK - 8,21216,Charter
POINT (-76.604638738017 39.303566076342),"1,011",16,16,Johnston Square Elementary,1101 Valley Street,PK - 5,PK - 5,21202,Traditional
POINT (-76.684402420775 39.332328659796),920,234,234,Arlington Elementary/Middle,3910 Barrington Road,PK - 8,PK - 8,21207,Traditional
POINT (-76.613654717277 39.312831750172),953,39,39,"Dallas F. Nicholas, Sr. Elementary",201 E 21st Street,PK - 5,PK - 5,21218,Traditional
POINT (-76.599594019575 39.325130364224),917,50,50,Abbottston Elementary,1300 Gorsuch Avenue,PK - 5,PK - 5,21218,Traditional
POINT (-76.667920830493 39.347682604383),"1,048",223,223,Pimlico Elementary/Middle,4849 Pimlico Road,PK - 8,PK - 8,21215,Traditional
POINT (-76.622594637192 39.252275008679),929,124,124,Bay-Brook Elementary/Middle,2501 Seabury Road,PK - 8,PK - 8,21225,Traditional
POINT (-76.662792093877 39.344711342969),963,62,62,Edgecombe Circle Elementary,2835 Virginia Avenue,PK - 5,PK - 5,21215,Traditional
POINT (-76.652412807978 39.304724321804),"1,089",0,875,P-TECH at Carver Vocational-Technical High School,2201 Presstman Street,,,21216,
POINT (-76.607583031292 39.276820983811),957,416,416,Digital Harbor High,1100 Covington Street,9 - 12,9 - 12,21230,Traditional
POINT (-76.636460959082 39.330835864973),"1,004",79,333,Independence School Local I,1300 W 36th Street,9 - 12,9 - 12,21216,Charter
POINT (-76.601475303785 39.355079896332),"1,072",209,375,Baltimore Collegiate School for Boys,900 Woodbourne Avenue,4 - 7,4 - 8,21212,Charter
POINT (-76.594612324521 39.232087805205),933,239,239,Benjamin Franklin High at Masonville Cove,1201 Cambria Street,9 - 12,9 - 12,21225,Traditional
POINT (-76.639951840499 39.290225084684),968,178,429,Vivien T. Thomas Medical Arts Academy,100 N Calhoun Street,9 - 12,9 - 12,21223,Traditional
POINT (-76.629133637171 39.28115320325),981,22,22,George Washington Elementary,800 Scott Street,PK - 5,PK - 5,21230,Traditional
POINT (-76.638495310091 39.281690402236),956,162,328,Southwest Baltimore Charter,1300 Herkimer Street,K - 8,K - 8,21223,Charter
POINT (-76.629774668935 39.306460783518),966,11,11,Eutaw-Marshburn Elementary,1624 Eutaw Place,PK - 5,PK - 5,21217,Traditional
POINT (-76.632748950076 39.311290463418),"1,007",61,61,Dorothy I. Height Elementary School,2011 Linden Avenue,PK - 5,PK - 5,21217,Traditional
POINT (-76.633293189335 39.287481279004),"1,006",10,10,James McHenry Elementary/Middle,31 S Schroeder Street,PK - 8,PK - 8,21223,Traditional
POINT (-76.606611510525 39.313280734849),938,7,7,Cecil Elementary,2000 Cecil Avenue,PK - 5,PK - 5,21218,Traditional
POINT (-76.650880557888 39.263101092103),"1,033",220,220,Morrell Park Elementary/Middle,2601 Tolley Street,PK - 8,PK - 8,21230,Traditional
POINT (-76.646807647064 39.296003873683),"1,003",138,379,Roots and Branches School,1807 Harlem Avenue,K - 5,K - 5,21217,Charter
POINT (-76.598481417851 39.30673730165),959,250,250,"Dr. Bernard Harris, Sr. Elementary",1400 N Caroline Street,PK - 5,PK - 5,21213,Traditional
POINT (-76.693445171251 39.280729744276),931,246,246,Beechfield Elementary/Middle,301 S Beechfield Avenue,PK - 8,PK - 8,21229,Traditional
POINT (-76.624846291158 39.298528612116),"1,009",451,345,Joseph C. Briscoe Academy,900 Druid Hill Avenue,6 - 12,6 - 12,21201,Separate Public Day
POINT (-76.637669338455 39.262105228647),"1,067",225,225,Westport Academy,2401 Nevada Street,PK - 8,PK - 8,21230,Traditional
POINT (-76.615181176189 39.319642581167),"1,023",53,53,Margaret Brent Elementary/Middle,100 E 26th Street,PK - 8,PK - 8,21218,Traditional
POINT (-76.663440479113 39.315170674785),991,60,60,Gwynns Falls Elementary,2700 Gwynns Falls Parkway,PK - 5,PK - 5,21216,Traditional
POINT (-76.642967729506 39.30431430827),982,107,107,Gilmor Elementary,1311 N Gilmor Street,PK - 5,PK - 5,21217,Traditional
POINT (-76.560248938864 39.366568267852),"1,049",93,349,NACA Freedom and Democracy Academy II,2500 E Northern Parkway,6 - 12,6 - 12,21214,Transformation
POINT (-76.53436581656 39.348812509995),944,326,326,City Neighbors Charter K-8,4301 Raspe Avenue,K - 8,K - 8,21206,Charter
POINT (-76.57125245099 39.365920918481),"1,038",402,419,Reginald F. Lewis High,6401 Pioneer Dr,9 - 12,9 - 12,21214,Traditional
POINT (-76.578872827026 39.307785127439),995,85,85,Fort Worthington Elementary/Middle,2710 E Hoffman Street,K - 8,K - 8,21213,Traditional
POINT (-76.676292646522 39.309096660142),962,67,67,Edgewood Elementary,1900 Edgewood Street,PK - 5,PK - 5,21216,Traditional
POINT (-76.663065511426 39.304318075317),"1,051",63,63,Rosemont Elementary/Middle,2777 Presstman Street,PK - 8,PK - 8,21216,Charter
