X,Y,OBJECTID,ARC_Street,ARC_City,ARC_State,ARC_ZIP,PSC_NUMBER,School_Type,County,School_Name,Grades
-8527012.4131,4768339.7316,1387,1300 Gorsuch Avenue,Baltimore,MD,21218,30.224,PreK-8,Baltimore City,Abbottston Elementary School # 050,PreK-8
-8479327.6963,4795913.4779,1388,251 Paradise Road,Aberdeen,MD,21001,12.058,High,Harford,Aberdeen High School,9-12
-8478596.1587,4795769.7274,1389,111 Mount Royal Avenue,Aberdeen,MD,21001,12.006,Middle,Harford,Aberdeen Middle School,6-8
-8496487.3281,4790291.4303,1390,399 Singer Road,Abingdon,MD,21009,12.049,Elementary,Harford,Abingdon Elementary School,PreK-5
-8828799.269,4811776.0775,1391,534 Accident Bittinger Road,Accident,MD,21520,11.013,Elementary,Garrett,Accident Elementary School,PreK-5
-8569300.2617,4677096.507,1392,14400 Berry Road,Accokeek,MD,20607,16.005,PreK-8,Prince George's,Accokeek Academy (Eugene Burroughs)                         ,5-8
-8568710.4496,4721681.4614,1393,8820 Riggs Road,Adelphi,MD,20783,16.169,Elementary,Prince George's,Adelphi Elementary School,PreK-6
-8534341.3531,4764370.6446,1394,800 Poplar Grove Street,Baltimore,MD,21216,30.068,Elementary,Baltimore City,Alexander Hamilton Elementary School # 145,PreK-5
-8771557.2321,4815994.0359,1395,900 Seton Drive,Cumberland,MD,21502,1.012,High,Allegany,Allegany High School,9-12
-8563824.7798,4693505.0251,1396,6300 Harley Lane,Temple Hills,MD,20748,16.205,Elementary,Prince George's,Allenwood Elementary School,PreK-6
-8561390.5785,4698954.6461,1397,3500 Regency Parkway,Forestville,MD,20747,16.197,PreK-8,Prince George's,Andrew Jackson Academy,PreK-8
-8514574.6737,4718312.8421,1398,180 Green Street,Annapolis,MD,21401,2.034,Elementary,Anne Arundel,Annapolis Elementary School,PreK-5
-8523241.0888,4718020.0752,1399,2700 Riva Road,Annapolis,MD,21401,2.03,High,Anne Arundel,Annapolis High School,9-12
-8517213.9779,4715670.2659,1400,1399 Forest Drive,Annapolis,MD,21403,2.061,Middle,Anne Arundel,Annapolis Middle School,6-8
-8563895.4172,4713089.0052,1401,5150 Annapolis Road,Bladensburg,MD,20710,16.163,Alternate,Prince George's,Annapolis Road Academy High School,9-10
-8653329.3244,4810047.5901,1402,40 West Oak Ridge Drive,Hagerstown,MD,21740,21.049,Middle/High,Washington,Antietam Academy,6-12
-8508872.0679,4632655.55,1403,11655 H.G. Trueman Road,Lusby,MD,20657,4.013,Elementary,Calvert,Appeal Elementary School,3-5
-8567466.4108,4691514.0703,1404,7400 Bellefield Avenue,Fort Washington,MD,20744,16.057,Elementary,Prince George's,Apple Grove Elementary School,PreK-6
-8559634.6127,4755422.6305,1405,10920 Clarksville Pike,Ellicott City,MD,21043,13.018,CareerTech,Howard,Applications and Research Lab,N/A
-8537822.5467,4757217.403,1406,1300 Sulphur Spring Road,Baltimore,MD,21227,3.16,Elementary,Baltimore,Arbutus Elementary School,PreK-5
-8538796.3211,4757248.2892,1407,5525 Shelbourne Road,Baltimore,MD,21227,3.048,Middle,Baltimore,Arbutus Middle School,6-8
-8575999.4284,4728183.8409,1408,1820 Franwell Avenue,Silver Spring,MD,20902,15.049,Elementary,Montgomery,Arcola Elementary School,HS-5
-8554525.2824,4712239.3187,1409,9301 Ardwick Ardmore Road,Springdale,MD,20774,16.164,Elementary,Prince George's,Ardmore Elementary School,PreK-6
-8577096.2904,4734337.8608,1410,2400 Bel Pre Road,Silver Spring,MD,20906,15.231,Middle,Montgomery,Argyle Middle School,6-8
-8527987.2617,4732690.5738,1411,975 Indian Landing Road,Millersville,MD,21108,2.122,Environmental Education,Anne Arundel,Arlington Echo Education Center,K-12
-8536419.6385,4771990.1536,1412,3705 West Rogers Avenue,Baltimore,MD,21215,30.094,PreK-8,Baltimore City,Arlington Elementary/Middle School # 234,PreK-8
-8522006.1186,4765330.3651,1413,5001-5061 East Eager Street,Baltimore,MD,21205,30.186,PreK-8,Baltimore City,Armistead Gardens Elementary/Middle School # 243,PreK-8
-8516305.4269,4726671.8651,1414,95 East Joyce Lane,Arnold,MD,21012,2.106,Elementary,Anne Arundel,Arnold Elementary School,K-5
-8554129.4671,4701185.8126,1415,2300 Sansbury Road,Upper Marlboro,MD,20774,16.074,Elementary,Prince George's,Arrowhead Elementary School,PreK-5
-8562903.7582,4664911.1782,1416,1109 Copley Avenue,Waldorf,MD,20601,8.011,Elementary,Charles,Arthur Middleton Elementary School,PreK-5
-8536201.318,4731890.4112,1417,1001 Annapolis Road,Gambrills,MD,21054,2.04,High,Anne Arundel,Arundel High School,9-12
-8536653.6582,4732066.0294,1418,1179 Hammond Lane,Odenton,MD,21113,2.057,Middle,Anne Arundel,Arundel Middle School,6-8
-8530180.0412,4757763.5498,1419,2400 Round Road,Baltimore,MD,21225,30.239,PreK-8,Baltimore City,Arundel Elementary/Middle School # 164,PreK-8
-8585795.2646,4724434.0807,1420,6314 Lone Oak Drive,Bethesda,MD,20817,15.188,Elementary,Montgomery,Ashburton Elementary School,K-5
-8556373.8881,4748321.9874,1421,6700 Seneca Drive,Columbia,MD,21046,13.03,Elementary,Howard,Atholton Elementary School,PreK-5
-8558308.0895,4748643.2574,1422,6520 Freetown Road,Columbia,MD,21044,13.013,High,Howard,Atholton High School,9-12
-8565157.032,4691754.671,1423,7302 Webster Lane,Fort Washington,MD,20744,16.019,Elementary,Prince George's,Avalon Elementary School,PreK-6
-8546037.2205,4673190.5938,1424,13601 Baden Westwood Road,Brandywine,MD,20613,16.228,Elementary,Prince George's,Baden Elementary School,PreK-6
-8468545.1583,4808889.2706,1425,41 Preston Drive,Port Deposit,MD,21904,7.034,Elementary,Cecil,Bainbridge Elementary School,PreK-5
-8595957.4067,4761002.4388,1426,25400 Oak Drive,Damascus,MD,20872,15.182,Middle,Montgomery,Baker (John T.) Middle School,6-8
-8479195.0653,4795411.4564,1427,36 Baker Street,Aberdeen,MD,21001,12.044,Elementary,Harford,Bakerfield Elementary School,PreK-5
-8619534.9829,4775934.3367,1428,5250 Kingsbrook Drive,Frederick,MD,21703,10.043,Elementary,Frederick,Ballenger Creek Elementary School,PreK-5
-8620688.1968,4777078.8028,1429,5525 Ballenger Creek Pike,Frederick,MD,21703,10.041,Middle,Frederick,Ballenger Creek Middle School,6-8
-8526554.7082,4768706.5993,1430,3220 The Alameda,Baltimore,MD,21218,30.11,High,Baltimore City,Baltimore City College # 480,9-12
-8531763.8336,4755675.6955,1431,4200 Annapolis Road,Baltimore,MD,21227,3.1,Elementary,Baltimore,Baltimore Highlands Elementary School,PreK-5
-8531904.9048,4771502.6985,1432,1400 West Cold Spring Lane,Baltimore,MD,21209,30.185,High,Baltimore City,Baltimore Polytechnic Institute # 403,9-12
-8529010.4859,4764468.4393,1433,712 Cathedral Street,Baltimore,MD,21202,30.178,High,Baltimore City,Baltimore School for the Arts # 415,9-12
-8565842.2806,4735404.3554,1434,14800 Perrywood Drive,Burtonsville,MD,20866,15.022,Middle,Montgomery,Banneker (Benjamin) Middle School,6-8
-8586995.5701,4717975.0455,1435,6520 Dalroy Lane,Bethesda,MD,20817,15.204,Elementary,Montgomery,Bannockburn Elementary School,K-5
-8547791.2786,4697942.3984,1436,12700 Brooke Lane,Upper Marlboro,MD,20772,16.235,Elementary,Prince George's,Barack Obama Elementary School,PreK-5
-8651796.7398,4814044.9466,1437,7-11 South Potomac Street,Hagerstown,MD,21740,21.053,High,Washington,Barbara Ingram School for the Arts,9-12
-8528338.7511,4768144.8087,1438,2900 Barclay Street,Baltimore,MD,21218,30.26,PreK-8,Baltimore City,Barclay Elementary/Middle School # 054,PreK-8
-8567724.8776,4695435.8867,1439,2411 Owens Road,Oxon Hill,MD,20745,16.123,Elementary,Prince George's,Barnaby Manor Elementary School,PreK-5
-8583241.5563,4735121.466,1440,14516 Nadine Drive,Rockville,MD,20853,15.225,Elementary,Montgomery,Barnsley (Lucy V.) Elementary School,PreK-5
-8528133.3989,4656222.2229,1441,295 Williams Road,Prince Frederick,MD,20678,4.028,Elementary,Calvert,Barstow Elementary School,PreK-5
-8516531.9766,4717701.3485,1442,701 Chase Street,Annapolis,MD,21401,2.037,Middle,Anne Arundel,Bates Middle School,6-8
-8513135.2121,4760236.8665,1443,7828 St Patricia Lane,Baltimore,MD,21222,3.116,Elementary,Baltimore,Battle Grove Elementary School,PreK-5
-8514199.7867,4760932.9372,1444,7801 East Collingham Drive,Baltimore,MD,21222,3.172,Special Education,Baltimore,Battle Monument School,Sp. Ed.
-8527025.9182,4754073.0833,1445,4411 Sixth Street,Baltimore,MD,21225,30.245,Middle,Baltimore City,Bay Brook # 124B 4-8 (formerly Harbor View Special Education) # 304,4-8
-8527021.0129,4754171.4921,1446,4301 Tenth Street,Baltimore,MD,21225,30.175,Elementary,Baltimore City,Bay Brook Elementary/Middle School # 124A,PreK-3
-8455486.2207,4813546.6312,1447,910 North East Road,North East,MD,21901,7.036,Elementary,Cecil,Bay View Elementary School,PreK-5
-8494474.2475,4719085.0817,1448,301 Church Street,Stevensville,MD,21666,17.021,Elementary,Queen Anne's,Bayside Elementary School,3-5
-8520092.8703,4676439.5887,1449,7900 Old Bayside Road,Chesapeake Beach,MD,20732,4.011,Elementary,Calvert,Beach Elementary School,PreK-5
-8560262.8304,4715606.1292,1450,6929 Furman Parkway,Riverdale,MD,20737,16.189,Elementary,Prince George's,Beacon Heights Elementary School,PreK-6
-8786661.4433,4815828.2292,1451,3 East College Avenue,Frostburg,MD,21532,1.002,Elementary,Allegany,Beall Elementary School,PreK-5
-8589617.2921,4734360.4621,1452,451 Beall Avenue,Rockville,MD,20850,15.205,Elementary,Montgomery,Beall Elementary School,HS-5
-8513992.5044,4760193.6394,1453,1601 Melbourne Road,Baltimore,MD,21222,3.153,Elementary,Baltimore,Bear Creek Elementary School,PreK-5
-8406857.171,4632816.1543,1454,31481 Ocean City Road,Salisbury,MD,21804,22.005,Elementary,Wicomico,Beaver Run Elementary School,PreK-2
-8541573.0663,4773423.5406,1455,7407 Dorman Drive,Baltimore,MD,21208,3.089,Elementary,Baltimore,Bedford Elementary School,1-5
-8537497.6219,4761965.7798,1456,301 South Beechfield Avenue,Baltimore,MD,21229,30.195,PreK-8,Baltimore City,Beechfield Elementary/Middle School # 246,PreK-8
-8777769.0171,4804728.7297,1457,14401 Barton Boulevard,Cumberland,MD,21502,1.003,Elementary,Allegany,Bel Air Elementary School,PreK-5
-8499274.8772,4799158.6144,1458,30 East Lee Street,Bel Air,MD,21014,12.024,Elementary,Harford,Bel Air Elementary School,PreK-5
-8498998.9268,4798059.5794,1459,100 Heighe Street,Bel Air,MD,21014,12.004,High,Harford,Bel Air High School,9-12
-8498622.626,4797570.1486,1460,99 Idlewild Street,Bel Air,MD,21014,12.035,Middle,Harford,Bel Air Middle School,6-8
-8577696.1839,4733414.5304,1461,13801 Rippling Brook Drive,Silver Spring,MD,20906,15.206,Elementary,Montgomery,Bel Pre Elementary School,PreK-2
-8529513.1032,4754630.0428,1462,4502 Belle Grove Road,Baltimore,MD,21225,2.121,Elementary,Anne Arundel,Belle Grove Elementary School,PreK-5
-8547837.7282,4750953.0005,1463,8125 Old Stockbridge Drive,Ellicott City,MD,21043,13.078,Elementary,Howard,Bellows Spring Elementary School,PreK-5
-8590381.5556,4726288.9216,1464,8225 Bells Mill Road,Potomac,MD,20854,15.185,Elementary,Montgomery,Bells Mill Elementary School,HS-5
-8579038.073,4747325.0685,1465,19528 Olney Mill Road,Olney,MD,20832,15.021,Elementary,Montgomery,Belmont Elementary School,K-5
-8534974.5405,4765227.8257,1466,1406 North Ellamont Street,Baltimore,MD,21216,30.214,Elementary,Baltimore City,Belmont Elementary School # 217,PreK-5
-8562535.1063,4727214.067,1467,4300 Wicomico Avenue,Beltsville,MD,20705,16.115,PreK-8,Prince George's,Beltsville Academy,PreK-8
-8516209.4409,4730078.1923,1468,360 Broadwater Road,Arnold,MD,21012,2.056,Elementary,Anne Arundel,Belvedere Elementary School,PreK-5
-8525858.8968,4733898.6519,1469,365 Lynwood Drive,Severna Park,MD,21146,2.029,Elementary,Anne Arundel,Benfield Elementary School,K-5
-8535407.0718,4626048.2445,1470,27180 Point Lookout Road,Loveville,MD,20656,18.005,Elementary,St. Mary's,Benjamin Banneker Elementary School,PreK-5
-8558994.0975,4696911.0004,1471,4601 Beauford Road,Morningside,MD,20746,16.215,Elementary/Middle,Prince George's,Benjamin Foulois Creative and Performing Arts Academy,K-8
-8526362.1931,4755077.438,1472,1201 Cambria Street,Baltimore,MD,21225,30.099,High,Baltimore City,Benjamin Franklin Building # 239,9-12
-8560229.5736,4664719.0212,1473,2040 St Thomas Drive,Waldorf,MD,20601,8.002,Middle,Charles,Benjamin Stoddert Middle School,6-8
-8565768.0996,4697398.8691,1474,2501 Olson Street,Temple Hills,MD,20748,16.152,Middle,Prince George's,Benjamin Stoddert Middle School,6-8
-8543305.3011,4715639.0342,1475,4901 Collington Road,Bowie,MD,20715,16.185,Middle,Prince George's,Benjamin Tasker Middle School,6-8
-8517259.2299,4762920.7373,1476,7431 Poplar Avenue,Baltimore,MD,21224,3.174,Elementary,Baltimore,Berkshire Elementary School,PreK-5
-8372502.2612,4626283.5615,1477,309 Franklin Avenue,Berlin,MD,21811,23.012,Elementary/Middle,Worcester,Berlin Intermediate,4-6
-8567160.6487,4671367.8799,1478,10155 Berry Road,Waldorf,MD,20603,8.036,Elementary,Charles,Berry Elementary School,PreK-5
-8561543.4288,4720500.726,1479,6200 Pontiac Street,Berwyn Heights,MD,20740,16.22,Elementary,Prince George's,Berwyn Heights Elementary School,PreK-6
-8651671.6686,4812871.7268,1480,385 Mill Street,Hagerstown,MD,21740,21.021,Elementary,Washington,Bester Elementary School,PreK-5
-8581610.8673,4719764.3822,1481,4301 East-W Highway,Bethesda,MD,20814,15.03,High,Montgomery,Bethesda Chevy Chase High School,9-12
-8582785.7837,4719696.0999,1482,7600 Arlington Road,Bethesda,MD,20814,15.015,Elementary,Montgomery,Bethesda Elementary School,K-5
-8591227.4639,4729138.1254,1483,8501 Post Oak Road,Potomac,MD,20854,15.183,Elementary,Montgomery,Beverly Farms Elementary School,K-5
-8564018.0048,4712893.9528,1484,4915 Annapolis Road,Bladensburg,MD,20710,16.106,Elementary,Prince George's,Bladensburg Elementary School,PreK-6
